,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
52,BBC,Mon Dec 11 18:00:10 +0000 2017,"You might have listened to these songs for years, but do you actually know the lyrics to some on the most well-know… https://t.co/Y0B4avJabB",0.0,0.0,1.0,0.0,53
53,BBC,Mon Dec 11 17:35:53 +0000 2017,A fictional short story called 'Cat Person' is being shared widely online as social media users discuss how much it… https://t.co/pPfEO5gQHQ,0.34,0.112,0.888,0.0,54
54,BBC,Mon Dec 11 17:30:01 +0000 2017,"This amateur pianist amazed passers-by in Manchester with his dance music renditions. 🎹
Via @BBC5Live. https://t.co/tifSk25A6X",0.4939,0.186,0.814,0.0,55
55,BBC,Mon Dec 11 17:21:48 +0000 2017,"RT @BBCRadio4: Exclusive first preview of the magical Anansi Boys. A little taste of our new @neilhimself drama, coming to you this Christm…",0.128,0.067,0.933,0.0,56
56,BBC,Mon Dec 11 17:03:13 +0000 2017,"RT @TWBBC: Keith Chegwin, who has died aged 60, demonstrating the latest in baby feeding technology on the 1987 Tomorrow's World Christmas…",-0.5574,0.0,0.854,0.146,57
57,BBC,Mon Dec 11 17:03:04 +0000 2017,'To infinity and beyond!' 🚀 🤠 🎬 Toy Story is available on @BBCiPlayer now.  https://t.co/Nh0nXJd0Pc https://t.co/QngQwVmWzG,0.0,0.0,1.0,0.0,58
58,BBC,Mon Dec 11 16:58:38 +0000 2017,RT @bbcwritersroom: The Miniaturist begins on @BBCOne on Boxing Day. We spoke to #screenwriter @JohnBrownlow about how he met the challenge…,0.0,0.0,1.0,0.0,59
59,BBC,Mon Dec 11 16:57:18 +0000 2017,"RT @bbcmusic: ""I’ve poured my heart into my music""
@SelenaGomez popped into @R1Breakfast this morning 💅
👉 https://t.co/hnFjtHhpRW https://t…",0.0,0.0,1.0,0.0,60
60,BBC,Mon Dec 11 16:43:25 +0000 2017,"RT @CBeebiesHQ: Ready for an early Christmas present? 🎁

A week filled with NEW Bedtime Stories! 📚✨

Starts tonight with @FloellaBenjamin a…",0.4199,0.128,0.872,0.0,61
61,BBC,Mon Dec 11 16:14:33 +0000 2017,The nominations for the 75th annual Golden Globe Awards have been announced. Here's the full shortlist. 👉… https://t.co/HxpWgQgbI9,0.4588,0.15,0.85,0.0,62
62,BBC,Mon Dec 11 16:08:53 +0000 2017,Christopher Plummer has been nominated for a Golden Globe for the role in which he replaced Kevin Spacey.… https://t.co/wEaNVH6tcB,0.0,0.0,1.0,0.0,63
63,BBC,Mon Dec 11 16:00:02 +0000 2017,"Scotland, looking so beautiful under a blanket of ice. 😍
Via @BBCScotland. https://t.co/CHUXsO10hF",0.7177,0.333,0.667,0.0,64
64,BBC,Mon Dec 11 15:54:56 +0000 2017,RT @bbcthree: Someone in the UK watched Bee Movie 357 times on Netflix in 2017 https://t.co/5ovfKX1TIa https://t.co/E8vAQlaEMF,0.0,0.0,1.0,0.0,65
65,BBC,Mon Dec 11 15:30:07 +0000 2017,✌ @CalvinHarris is under pressure to remix the Spice Girls classic 2 become 1 after saying he'd do it if same-sex m… https://t.co/vm73kheGdN,-0.296,0.0,0.896,0.104,66
66,BBC,Mon Dec 11 14:56:13 +0000 2017,"RT @bbcmusic: Watch an exclusive performance of @U2's classic 'All I Want Is You' now on @BBCiPlayer
U2 At The BBC: coming to @BBCOne 19/12…",0.2023,0.113,0.887,0.0,67
67,BBC,Mon Dec 11 14:51:53 +0000 2017,"RT @bbcthree: ""THIS IS WHAT HAPPENS WHEN YOU CHUCK YOUR PLASTIC BAGS IN THE SEA"" 

@kuruptfm on #BluePlanet2. https://t.co/Icp7ZM6lxC",0.0,0.0,1.0,0.0,68
68,BBC,Mon Dec 11 14:44:09 +0000 2017,"Veteran TV presenter Keith Chegwin has died aged 60 after a long illness, his family says. ❤️️… https://t.co/BIjMIDsjGF",-0.743,0.0,0.704,0.296,69
69,BBC,Mon Dec 11 14:42:36 +0000 2017,RT @BBCNews: TV's Keith Chegwin dies aged 60 https://t.co/F3rRCKMpGA,0.0,0.0,1.0,0.0,70
70,BBC,Mon Dec 11 14:39:04 +0000 2017,"More than 1/4 of mothers have had their parenting skills criticised by their own parents, &amp; 14% by strangers.… https://t.co/VO2IUn3fuy",-0.4215,0.0,0.872,0.128,71
71,BBC,Mon Dec 11 14:03:05 +0000 2017,"From bird-eating fish to the Bobbit worm, here are some of the (many, many) times that #BluePlanet2 blew our minds.… https://t.co/saTflTmI4n",0.0,0.0,1.0,0.0,72
72,BBC,Mon Dec 11 13:39:41 +0000 2017,"RT @BBCR1: 🎼 This year, to save me from tears
I'll give it to someone special 🎶

@RitaOra just kicked off our week of Christmas Live Lounge…",0.6124,0.198,0.738,0.064,73
73,BBC,Mon Dec 11 13:30:05 +0000 2017,Why the lion is art's most enduring symbol. 🦁🎨 https://t.co/0xtVFKWy37 https://t.co/FjX1YTK8fH,0.0,0.0,1.0,0.0,74
74,BBC,Mon Dec 11 13:00:07 +0000 2017,Ever wondered who you'd be if you were in the Star Wars universe (you definitely have)? Here's your chance to find… https://t.co/C47rTXyEJJ,0.0258,0.172,0.696,0.132,75
75,BBC,Mon Dec 11 12:45:06 +0000 2017,The defect that causes the neurodegenerative disease Huntington's has been corrected in patients for the first time… https://t.co/1WD70ilzab,-0.34,0.0,0.876,0.124,76
76,BBC,Mon Dec 11 12:30:01 +0000 2017,'We keep it well fed with liquid fertiliser as feeding it on its natural diet might prove a bit problematic.' 😬🐏… https://t.co/0zuDEVwnOd,0.5574,0.195,0.805,0.0,77
77,BBC,Mon Dec 11 11:57:09 +0000 2017,"It's time to change our plastic bottle behaviour. #BluePlanet2 
Via @BBC5Live https://t.co/kSzSawpYLv",0.0,0.0,1.0,0.0,78
78,BBC,Mon Dec 11 11:48:28 +0000 2017,"RT @BBCOne: “Give nature just that chance and it’ll come back.” 
Listen to the inspiring interview with Sir David Attenborough in full on t…",0.5859,0.179,0.821,0.0,79
79,BBC,Mon Dec 11 11:45:31 +0000 2017,"RT @BBCRadio4: 🎄 ""You might hear a single pine needle drop.""
We asked Maxine Peake to read our Christmas poem.
#ListenToChristmas https://t…",0.0,0.0,1.0,0.0,80
80,BBC,Mon Dec 11 11:44:28 +0000 2017,"RT @bbcmusic: The amazing @RitaOra joins @BBCR1 for a festive Live Lounge today ✨
Listen live from 12pm: https://t.co/G6HAvsCVbm https://t.…",0.7783,0.298,0.702,0.0,81
81,BBC,Mon Dec 11 11:43:51 +0000 2017,"RT @BBCSpringwatch: How can we sustainably use our fish stocks to make sure there is enough for everyone?
#BluePlanet2 #OurBluePlanet https…",0.3182,0.103,0.897,0.0,82
82,BBC,Mon Dec 11 11:23:57 +0000 2017,"RT @BBCTwo: Two of the most dangerous men in #PeakyBlinders.

In the same room.

At the same time. 

Here's an EXCLUSIVE look at the moment…",-0.2869,0.078,0.803,0.119,83
83,BBC,Mon Dec 11 11:00:11 +0000 2017,❄️⛄️ Some brrrr-illiant cold snap snaps from the recent snowfall in the UK. 📸 https://t.co/AGS3V858KT https://t.co/xJmRwUlZlx,0.0,0.0,1.0,0.0,84
84,BBC,Mon Dec 11 10:09:23 +0000 2017,"Britain has a new tallest mountain! 🏔🇬🇧
Mount Hope, sited in the part of the Antarctic claimed by the UK, is more t… https://t.co/KTFGAAB0cU",0.4926,0.127,0.873,0.0,85
85,BBC,Mon Dec 11 09:00:06 +0000 2017,🐨🤳 Instagram has announced their decision to ban the use of certain hashtags to help prevent dangerous animal touri… https://t.co/qQmDDRHbYu,-0.4215,0.214,0.543,0.243,86
86,BBC,Mon Dec 11 08:40:04 +0000 2017,How do you re-create Buckingham Palace? @BBCClick sat down with #TheCrown's visual effects supervisor to find out.… https://t.co/LukVoPSKHm,0.0,0.0,1.0,0.0,87
87,BBC,Mon Dec 11 08:20:04 +0000 2017,Unseen for 1000 years: how one man unearthed an astonishing collection of ancient Viking plunder. 💰… https://t.co/qb2rmMTsx1,0.0,0.0,1.0,0.0,88
88,BBC,Mon Dec 11 08:00:03 +0000 2017,Charles took up sprinting at 95 and became a world champion! 🏃🏼🥇 Via @BBCStories. https://t.co/9yprG6XcSa,0.636,0.244,0.756,0.0,89
89,BBC,Mon Dec 11 07:38:04 +0000 2017,"A town in Northern Ireland has the fastest runners in the UK, according to data collected by a fitness app. 🏃⏰… https://t.co/KjaNDPPwVS",0.2732,0.1,0.9,0.0,90
90,BBC,Sun Dec 10 21:34:02 +0000 2017,"RT @BBCOne: SO. MUCH. CUTE. 😍
#AttenboroughandtheGiantElephant https://t.co/4UyVvh6qBm",0.6915,0.44,0.56,0.0,91
91,BBC,Sun Dec 10 21:02:27 +0000 2017,RT @BBCEarth: 'Never before have we had such an awareness of what we are doing to the planet and never before have we had the power to do s…,0.0,0.0,1.0,0.0,92
92,BBC,Sun Dec 10 21:00:06 +0000 2017,"🌹@DuaLipa performing 'Homesick' was a completely stunning way to end this series of #SLFN. 💖
Watch in full 👉… https://t.co/LgMlMfnv7F",0.4391,0.145,0.855,0.0,93
93,BBC,Sun Dec 10 20:58:15 +0000 2017,"RT @BBCEarth: 'What shocks me ...is how fast things are changing here. We’re headed into uncharted territory' - @expeditionlog
#BluePlanet2…",-0.3818,0.0,0.874,0.126,94
94,BBC,Sun Dec 10 20:57:07 +0000 2017,"RT @BBCOne: If we don’t act, coral reefs could be gone by the end of this century. 😢 #BluePlanet2 https://t.co/OdOSKBtz0S",0.0,0.0,1.0,0.0,95
95,BBC,Sun Dec 10 20:49:42 +0000 2017,"RT @BBCEarth: In 1986, many nations decided to end commercial whaling, and fishermen are now reporting pods of whales with numbers never se…",0.0,0.0,1.0,0.0,96
96,BBC,Sun Dec 10 20:45:04 +0000 2017,"Little things can make a big difference.
#BluePlanet2 via @BBCEarth https://t.co/hyzwA06cNw",0.0,0.0,1.0,0.0,97
97,BBC,Sun Dec 10 20:43:59 +0000 2017,"RT @BBCSpringwatch: Manmade materials are destroying #OurBluePlanet - this is how
#BluePlanet2 
https://t.co/sEccQzjv1r https://t.co/7ZmDOz…",-0.5574,0.0,0.769,0.231,98
98,BBC,Sun Dec 10 20:43:18 +0000 2017,"RT @BBCEarth: It’s estimated that tens of millions of sharks are killed each year from getting trapped in fishing nets
#BluePlanet2 https:/…",-0.836,0.0,0.717,0.283,99
99,BBC,Sun Dec 10 20:24:26 +0000 2017,RT @BBCOne: These are *all* items regurgitated by birds. 😥 #BluePlanet2 https://t.co/WyFtZHjKjx,0.0,0.0,1.0,0.0,100
100,CBS,Tue Dec 12 20:34:16 +0000 2017,"RT @thegoodfight: Court is back in session. Season 2 of #TheGoodFight premieres March 4, exclusively on CBS All Access: https://t.co/Niu5a8…",0.0,0.0,1.0,0.0,1
101,CBS,Tue Dec 12 19:31:42 +0000 2017,❄️ Happy holidays from CBS! ❄️  #fullbobble https://t.co/Xef9fKoPTv,0.7644,0.524,0.476,0.0,2
102,CBS,Tue Dec 12 19:04:59 +0000 2017,Only two weeks until The 40th Annual Kennedy Center Honors air on December 26! Look back on four decades of inspiri… https://t.co/z4J8sfs55V,0.5562,0.146,0.854,0.0,3
103,CBS,Tue Dec 12 17:13:52 +0000 2017,"Mark your calendars! The 53rd Academy Of Country Music Awards will air Sunday, April 15 on CBS!… https://t.co/yYPc5rCiMW",0.555,0.174,0.826,0.0,4
104,CBS,Mon Dec 11 21:29:33 +0000 2017,The search is on to find the pro football player with the best off-the-field talent! Vote for your favorite perform… https://t.co/musmVXrRJz,0.8832,0.364,0.636,0.0,5
105,CBS,Mon Dec 11 19:05:21 +0000 2017,RT @MadamSecretary: No D.C. holiday party is complete without some political persuasion and a covert sting to bust a corrupt senator. 🎄⭐️ S…,0.4939,0.211,0.703,0.086,6
106,CBS,Mon Dec 11 00:26:50 +0000 2017,"Due to NFL overrun, CBS is delayed 8 mins in the following ET &amp; CT markets: Hunstville, AL, Bowling Green, KY, MS,… https://t.co/gbwhgooEQd",-0.2263,0.0,0.917,0.083,7
107,CBS,Mon Dec 11 00:25:54 +0000 2017,"Due to NFL overrun CBS is delayed 7 mins in the following ET &amp; CT markets Tampa, Chicago, Maryland, Michigan, Wash… https://t.co/driVgCiX7D",-0.2263,0.0,0.913,0.087,8
108,CBS,Sun Dec 10 22:49:02 +0000 2017,"RT @NoActivityCBS: If you want the intel, you get the tickles. 😂 Stream the first 5 episodes of #NoActivity now: https://t.co/Wzq9bVOhGN ht…",0.0772,0.064,0.936,0.0,9
109,CBS,Sun Dec 10 22:48:46 +0000 2017,RT @startrekcbs: .@albinokid and @wcruz73 are breaking new ground in #StarTrekDiscovery. 🏳️‍🌈 Stream chapter 1 on CBS All Access: https://t…,0.0,0.0,1.0,0.0,10
110,CBS,Sat Dec 09 18:24:37 +0000 2017,Don’t miss America’s Game! Stream the Army-Navy game LIVE today at 3PM ET with a FREE trial of #CBSAllAccess:… https://t.co/38udnQj2vs,0.5754,0.189,0.742,0.07,11
111,CBS,Sat Dec 09 01:11:51 +0000 2017,"There's still time before we have to say so long! Catch up with Carol Burnett, her original castmates and special g… https://t.co/WTiK8dzaXO",0.6476,0.209,0.791,0.0,12
112,CBS,Fri Dec 08 23:35:41 +0000 2017,RT @bigbangtheory: It's the biggest best friend breakup of the year... 😱 Stream the latest full episode of #BigBangTheory: https://t.co/iIw…,0.8126,0.303,0.697,0.0,13
113,CBS,Thu Dec 07 18:23:03 +0000 2017,"RT @AmazingRaceCBS: Presenting... the 30th cast of the #AmazingRace! Made up of champions and winners, this is quite literally the most com…",0.7777,0.254,0.746,0.0,14
114,CBS,Thu Dec 07 12:07:06 +0000 2017,Do you know all the nominees for Song Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of Mu… https://t.co/I6hhOtfQjb,0.5423,0.137,0.863,0.0,15
115,CBS,Wed Dec 06 17:32:28 +0000 2017,"A new Twilight Zone original series is coming exclusively to CBS All Access in association with @JordanPeele,… https://t.co/fVYnhUASee",0.3182,0.126,0.874,0.0,16
116,CBS,Tue Dec 05 19:21:31 +0000 2017,RT @SuperiorDonuts: You'll want to check this box! ☑︎ Stream the latest episode of #SuperiorDonuts: https://t.co/h1xhKLCAPl https://t.co/d8…,0.1511,0.09,0.91,0.0,17
117,CBS,Tue Dec 05 19:14:00 +0000 2017,RT @YoungSheldon: Wondering what it's like behind the scenes of #YoungSheldon? Let star @OfficialRaeganR take you on a tour of the set! htt…,0.4199,0.117,0.883,0.0,18
118,CBS,Tue Dec 05 00:54:16 +0000 2017,The Kennedy Center Honors recognizes the lifetime contributions of all types of performance artists. Watch the 40th… https://t.co/azF3rW2ptw,0.5106,0.163,0.837,0.0,19
119,CBS,Tue Dec 05 00:03:06 +0000 2017,RT @YoungSheldon: There's something @elonmusk never told you about @spacex's Falcon 9. 📓  #YoungSheldon https://t.co/bu3W0IC8zN,0.0,0.0,1.0,0.0,20
120,CBS,Mon Dec 04 20:52:31 +0000 2017,"Just like old times, Carol Burnett bumps up the lights and answers questions from the audience. Catch up on The Car… https://t.co/9r7WI8d1tZ",0.3612,0.106,0.894,0.0,21
121,CBS,Mon Dec 04 19:22:07 +0000 2017,Star comedian @JimCarrey gets emotional when he expresses his heartfelt thanks to Carol Burnett for her positive in… https://t.co/5QCejBcg5T,0.9217,0.504,0.496,0.0,22
122,CBS,Mon Dec 04 07:14:06 +0000 2017,Take a trip down memory lane with Carol Burnett for a special tribute you'll never forget. Catch up on The Carol Bu… https://t.co/XBINDav614,0.5213,0.187,0.813,0.0,23
123,CBS,Mon Dec 04 03:02:00 +0000 2017,"RT @JLawlorNY: So, ok...maybe I'm crying at at the #CarolBurnett50 finale with everyone singing her theme song! #ImSoGladWeHadThisTimeToget…",-0.5655,0.0,0.823,0.177,24
124,CBS,Mon Dec 04 03:01:09 +0000 2017,RT @junerenee: A true classic and favorite!! Love #CarolBurnett50 laughed and cried...just like before!,0.9466,0.672,0.328,0.0,25
125,CBS,Mon Dec 04 02:51:35 +0000 2017,RT if you’ve loved reliving these classic moments during #CarolBurnett50 https://t.co/I1tIWeSlsQ,0.5994,0.281,0.719,0.0,26
126,CBS,Mon Dec 04 02:49:27 +0000 2017,RT @Mom101: I can't tell you the joy of seeing my 10yo laughing at this. Especially the Tim Conway dentist sketch.  #CarolBurnett50,0.7906,0.269,0.731,0.0,27
127,CBS,Mon Dec 04 02:47:39 +0000 2017,"RT @AdeleAndMike: Thank You for bringing back such wonderful memories, the entire family would gather to watch, and we would then laugh abo…",0.8689,0.329,0.671,0.0,28
